baujahr,stadt,Bevölkerung,DistanzSaarbrücken,DistanzThionville,DistanzMetz,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2020,LONGLAVILLE,2494,116,43,65,36,187600,67.0,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,134120,47.9,1,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,297640,106.3,3,1,1,0,0,0
2020,LONGLAVILLE,2494,116,43,65,36,299040,106.9,3,1,1,0,0,0
2020,LONGLAVILLE,2494,116,43,65,36,134120,47.9,1,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,185080,66.1,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,135520,48.0,1,1,1,0,0,1
2020,MONT-SAINT-MARTIN,8807,116,48,70,35,172700,80.2,3,1,2,1,0,0
2020,MONT-SAINT-MARTIN,8807,116,48,70,35,213300,85.1,3,1,2,1,0,0
2020,MONT-SAINT-MARTIN,8807,116,48,70,35,212300,85.2,3,1,2,1,0,0
2020,MONT-SAINT-MARTIN,8807,116,48,70,35,199200,80.2,3,1,2,1,0,0
2020,MONT-SAINT-MARTIN,8807,116,48,70,35,199000,80.2,3,1,2,1,0,0
2020,MONT-SAINT-MARTIN,8807,116,48,70,35,201800,80.0,3,1,2,1,0,0
2020,MONT-SAINT-MARTIN,8807,116,48,70,35,202800,80.4,3,1,2,1,0,0
2020,AUDUN-LE-TICHE,6753,106,30,53,25,247000,78.55,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,223000,66.05,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,247000,78.55,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,247000,78.55,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,247000,78.55,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,223000,66.05,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,210000,62.1,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,230000,68.15,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,230000,68.15,2,1,1,0,0,1
2020,BOUZONVILLE,3993,42,32,42,68,235000,109.0,3,1,1,1,1,0
2020,MONDORFF,555,75,21,52,27,310000,124.0,4,1,1,1,1,0
2020,METZ,117492,70,28,0,62,215000,90.0,3,1,1,1,1,0
2020,METZ,117492,70,28,0,62,225000,100.0,3,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,310000,124.0,4,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,254000,119.0,3,2,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,397000,101.77,3,1,2,0,1,0
2020,THIONVILLE,40665,94,0,30,36,420000,97.91,3,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,392000,97.64,3,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,350000,93.14,3,1,1,1,1,0
2020,AUDUN-LE-TICHE,6753,106,30,53,25,230000,68.15,2,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,247000,78.55,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,185080,66.0,2,1,1,0,0,1
2020,SIERCK-LES-BAINS,1712,71,19,46,40,310000,124.0,4,1,1,1,1,0
