kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
280000,2020,0,1,134.0,3,2,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
159000,2020,0,0,91.0,3,1,1,1,METZ,117492,0,0,0,1
159000,2020,0,0,91.0,3,1,1,1,BOULAY-MOSELLE,5621,0,0,0,1
134120,2020,1,0,47.9,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
297640,2020,0,0,106.3,3,1,1,0,LONGLAVILLE,2494,0,0,0,1
299040,2020,0,0,106.9,3,1,1,0,LONGLAVILLE,2494,0,0,0,1
165200,2020,0,0,59.0,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
134120,2020,1,0,47.9,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
187600,2020,1,0,67.0,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
185080,2020,1,0,66.1,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
192920,2020,1,0,68.9,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
135800,2020,1,0,48.5,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
187600,2020,1,0,67.0,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
185080,2020,1,0,66.1,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
192920,2020,1,0,68.9,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
135520,2020,1,0,48.0,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
186000,2020,0,0,91.0,3,1,1,1,HERSERANGE,4361,0,0,0,1
186000,2020,0,0,91.0,3,1,1,1,HAUCOURT-MOULAINE,3076,0,0,0,1
349000,2020,0,1,180.0,3,1,4,1,VILLERUPT,9552,0,0,0,1
350000,2020,1,0,96.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,96.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,95.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
