kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
825000,1988,1,0,93.0,2,2,1,0,LUXEMBOURG-B,3746,0,0,1,0
520000,1988,1,0,93.39,2,1,1,0,DIFFERDANGE,25400,0,0,1,0
850000,1988,0,1,160.0,5,1,1,0,MERSCH,9195,0,0,1,0
625000,1988,0,1,144.0,4,1,5,1,TROISVIERGES,3005,0,0,1,0
1350000,1988,0,1,179.2,5,3,3,1,SCHRASSIG,1027,0,0,1,0
1390000,1988,0,1,250.0,4,3,4,1,SCHIFFLANGE,10300,0,0,1,0
598000,1988,1,0,87.0,2,1,2,0,DUDELANGE,20400,0,0,1,0
1595000,1989,0,1,350.0,5,1,4,1,ERPELDANGE-SUR-SÛRE,2048,0,0,1,0
670000,1989,1,0,120.0,3,1,2,1,NIEDERKORN,7272,0,0,1,0
2475000,1989,0,1,240.0,5,3,2,1,LUXEMBOURG-LIMPERT,10900,0,0,1,0
1195000,1989,1,0,117.0,3,1,2,1,LUXEMBOURG-KIRC,6238,0,0,1,0
550000,1989,1,0,77.0,2,1,1,0,ESCH-SUR-ALZETTE,34780,0,0,1,0
3480000,1989,0,1,860.0,5,5,8,1,BETTANGE-SUR,1247,0,0,1,0
995000,1990,1,0,101.0,2,1,1,0,LUXEMBOURG-BONNEVOIE,12734,0,0,1,0
595000,1990,1,0,100.0,2,1,1,0,DIEKIRCH,7000,0,0,1,0
1100000,1990,1,0,140.0,3,2,1,0,STRASSEN,5900,0,0,1,0
850000,1990,1,0,103.0,2,1,1,0,HOWALD,4760,0,0,1,0
849000,1990,0,1,128.0,3,1,2,0,HELMDANGE,684,0,0,1,0
1100000,1990,1,0,140.0,4,2,1,0,STRASSEN,5900,0,0,1,0
2685000,1990,1,0,310.0,5,3,2,0,LEUDELANGE,1851,0,0,1,0
